id,created_at,text
965677377190690816,2018-02-19 20:00:02,b'#Encryption - what do you need to know about it? https://t.co/5tzCnMl9LS https://t.co/5cUaj7BiER'
965639618258350081,2018-02-19 17:30:00,b'Facebook spams users who signed up for 2FA https://t.co/WCDL2pfV9p'
965609421094227971,2018-02-19 15:30:00,b'Bug Bounty Programs: A Quick Guide https://t.co/u6kM3a4kYv #infosec #CyberSecurity #MondayMotivation https://t.co/3TUkz2ykec'
965576721079599104,2018-02-19 13:20:04,b'Hacker wipes spyware firm\xe2\x80\x99s servers for second time https://t.co/VyIY30YUxF'
965322783126409220,2018-02-18 20:31:00,b'Working in #cybersecurity: \xe2\x80\x9cDon\xe2\x80\x99t be afraid to apply just because you feel you don\xe2\x80\x99t have the experience\xe2\x80\x9d\xe2\x80\xa6 https://t.co/lIYDEKUJ9d'
965277232754253824,2018-02-18 17:30:00,b'#Infosec: The A to Z of #CyberSecurity https://t.co/NmDTB2RsuC #infosec https://t.co/x2EzoRYCpr'
965224395630432256,2018-02-18 14:00:03,b'7 of the worst malware fails ever https://t.co/RK81ELxlOr #malware https://t.co/AZJRCLzblC'
964959134788542464,2018-02-17 20:26:00,b'What you should do if you have been impacted by a data breach https://t.co/hGJUBvDWhc #DataBreaches https://t.co/XjPj5SCfme'
964898233053995008,2018-02-17 16:24:00,b'You Are the Weakest Link: 5 of the Biggest #CyberSecurity Risks for Businesses https://t.co/WRnuHzK1fj #infosec https://t.co/BJeHMmvyZH'
964854452296568833,2018-02-17 13:30:02,b'After the Hack: Where Are These 5 Famous Hackers Now? https://t.co/fpqebVehiu #hacking #infosec https://t.co/qmq6mugF7C'
964575356438171648,2018-02-16 19:01:00,b'Web of woe: What you need to know about #botnets https://t.co/8tQrLM9dS5 #infosec #cybersecurity https://t.co/u1dsgRMChO'
964552463029174272,2018-02-16 17:30:02,b'Immigration lawyer stole non-U.S. citizens\xe2\x80\x99 identities to commit financial fraud https://t.co/lgQFghUvre'
964522258638098432,2018-02-16 15:30:01,b'Working in #cybersecurity: \xe2\x80\x9cI can certainly see why it is often touted as one of the most important future jobs\xe2\x80\x9d\xe2\x80\xa6 https://t.co/ngWxMlYvNR'
964484513974931456,2018-02-16 13:00:02,b'#FridayFact: An old #scam popular among desktop malware authors has made the jump to #mobile https://t.co/56NXPFrC1E https://t.co/12YCkNXK7K'
964481800918663168,2018-02-16 12:49:15,"b'Just one Unicode symbol can crash apps on Apple iOS, Mac devices https://t.co/nnIsWrAaYL'"
964258015229591552,2018-02-15 22:00:00,b'@Symantec researchers have observed a #Fakeapp malware variant spoofing the #Facebook login UI to steal user creden\xe2\x80\xa6 https://t.co/rGiXT3QowI'
964214729378971648,2018-02-15 19:08:00,b'Quantum leap: What will quantum computing mean for encryption? https://t.co/PgJ7APgasX #QuantumComputing https://t.co/PBOq4EowgY'
964159873968558080,2018-02-15 15:30:01,b'Cryptocurrency start-up LoopX scams investors out of $4.5 million https://t.co/nMFdyxhltE'
964159868272746498,2018-02-15 15:30:00,b'Scratching the surface: What you should know about the deep and dark web https://t.co/Mc3PNetrxn #DarkWeb #infosec https://t.co/OAHFYceU4e'
964138633505669120,2018-02-15 14:05:37,b'New variants of the #Fakeapp malware can log into #Facebook accounts to harvest credentials directly from #Android\xe2\x80\xa6 https://t.co/EMTjQ8Wfq8'
963857883963195394,2018-02-14 19:30:01,b'#WednesdayWisdom: What are VPNs\xe2\x80\x8a\xe2\x80\x94\xe2\x80\x8aand why would I use one? https://t.co/AvNl2JBg7O #infosec https://t.co/FPegRD4rxy'
