id,created_at,text
971461376442032129,2018-03-07 19:03:35,b'5 things to know about #Cryptomining: https://t.co/GmPbgDnNlv'
971410237965168640,2018-03-07 15:40:23,b'Our @abosnian explores the power  &amp; potential of Robotic Process Automation\xe2\x80\x94and the #security risks:\xe2\x80\xa6 https://t.co/3TZkruOQeT'
971388933622951936,2018-03-07 14:15:43,b'RT @ConjurInc: Check out the latest @DevOps blog by @brikelly of @CyberArk @ConjurInc #Security as a First-Class-Citizen.  https://t.co/bOE\xe2\x80\xa6'
971119476484665344,2018-03-06 20:25:00,b'Only 8% of organizations continuously conduct Red Team exercises: https://t.co/9tlI0r58UO Why they are so important: https://t.co/LFJMk9uPez'
971088775077154817,2018-03-06 18:23:00,b'Exploring the anatomy of the #Triton #malware attack: https://t.co/t3YGioTZ3u #ICS #Cybersecurity'
971052800842125312,2018-03-06 16:00:03,b'#ThreatSurvey: #Cloud drives biz advantages and questions about #security accountability: https://t.co/9tlI0qNy3g'
971018287302742017,2018-03-06 13:42:54,b'RT @ISC2: \xe2\x80\x98Detecting the Risk Obscured in Hidden Parts of Kerberos\xe2\x80\x99 starts this Thursday 8th at 12PM GMT!  Join the #Webinar  presented by\xe2\x80\xa6'
970748680952303618,2018-03-05 19:51:35,b'#Cloud &amp; #DevOps enable transformational advances. But what happens when a cyber attacker gets a hold of access key\xe2\x80\xa6 https://t.co/GvxuCS4r9l'
970736550693736448,2018-03-05 19:03:23,b'Honored to be recognized by @CRN! #CRNSecurity100 https://t.co/sBEP4hgycP'
969686285974585348,2018-03-02 21:30:01,b'Tune in to our 3/6 webinar &amp; learn how to detect the risk obscured in hidden parts of Kerberos: https://t.co/GLFMqrxNBk'
969667377641205761,2018-03-02 20:14:53,b'#ThreatSurvey: Greatest #cybersecurity threat organizations face today = targeted #phishing attacks: https://t.co/9tlI0qNy3g'
969615279318806528,2018-03-02 16:47:51,b'Where rubber meets the road: Exposed credentials in the #cloud facilitate #cryptocurrency mining: https://t.co/tEEEeswirx'
969607774656237569,2018-03-02 16:18:02,b'RT @ConjurInc: Excited to say @CyberArk @ConjurInc #opensource now integrates with @cloudfoundry https://t.co/mTpQ5DSs7E #DevOps #DevSecOps\xe2\x80\xa6'
969565738812940288,2018-03-02 13:31:00,b'DoD\xe2\x80\x99s Shanahan preaches religion on #cybersecurity &amp; our @abosnian weighs in: https://t.co/q3Mlq3OIvM via @MeriTalk'
969562871104507904,2018-03-02 13:19:36,"b""RT @RSAsecurity: Half of organizations don't make changes to their #security strategy, even after experiencing a #cyberattack, finds @Cyber\xe2\x80\xa6"""
969301246376001537,2018-03-01 20:00:00,"b'While organizations face increasingly damaging #cybersecurity threats, many remain hamstrung by inertia &amp; uncertain\xe2\x80\xa6 https://t.co/VdiAdfuoDT'"
969263567391395841,2018-03-01 17:30:17,"b""RT @Thalesesecurity: Today's the day! Join Thales and @CyberArk in ONE HOUR (10am PT/1pm ET/6pm GT) for a joint webcast on combating inside\xe2\x80\xa6"""
969261176503898112,2018-03-01 17:20:47,b'Our #ThreatSurvey shows organizational inertia weakens #cybersecurity defenses: https://t.co/J38k4joXVI'
969236898786004995,2018-03-01 15:44:18,"b'RT @cbronline: Albert Einstein said that, \xe2\x80\x9cthe definition of insanity is doing the same thing over and over again, but expecting different\xe2\x80\xa6'"
969212438259425280,2018-03-01 14:07:07,"b'RT @helpnetsecurity: Nearly half of security pros rarely change their security strategy, even after a cyber attack - https://t.co/Ysy4SHxBF\xe2\x80\xa6'"
969162904762241025,2018-03-01 10:50:17,b'RT @aresilientworld: Organisations failing to secure privileged accounts &amp; credentials in the cloud says a study by @CyberArk. #cybersecuri\xe2\x80\xa6'
968950182548131841,2018-02-28 20:45:00,b'Join our webinar tomorrow (3/1) with @Thalesesecurity: Combatting Insider Threats. Register here: https://t.co/5YVeiWFdKp #cybersecurity'
968923772207140864,2018-02-28 19:00:03,b'Our latest #ThreatSurvey reveals a pressing need for better privileged account #security practices:\xe2\x80\xa6 https://t.co/sg6rWdfJvL'
968879771567427584,2018-02-28 16:05:13,"b'Proud to partner w/ @Fortinet! And we\xe2\x80\x99re in great company with @Back_Box, @CyGlass_Inc, @IBMSecurity, @McAfee,\xe2\x80\xa6 https://t.co/Q5DdNhmr8f'"
968857758761091072,2018-02-28 14:37:44,"b'RT @Warwick_Ashford: Firms failing to learn #security lessons from cyber attacks, reveals @CyberArk report https://t.co/GgyHbFEHnb via @com\xe2\x80\xa6'"
968835412839075840,2018-02-28 13:08:57,b'Our #ThreatSurvey findings show organizations are failing to secure privileged accounts &amp; credentials in the #cloud\xe2\x80\xa6 https://t.co/WZjrxziF3g'
968798194489593857,2018-02-28 10:41:03,b'RT @michastan: Thanks @Rainer_Knorpp for the great meeting @Devoteam today. Great to have you as @CyberArk partner! And @Anne_Bechert and I\xe2\x80\xa6'
968798137518313472,2018-02-28 10:40:50,b'RT @ansible: Interested in secrets management? Join our webinar on Feb 28 to learn more about how to use #Ansible with @CyberArk Applicatio\xe2\x80\xa6'
968798109152301056,2018-02-28 10:40:43,b'RT @Joe_Garcia: For those of you looking for a quick entry into secrets management -- this is your ticket!! #devops #devsecops @CyberArk @C\xe2\x80\xa6'
968576169707737089,2018-02-27 19:58:48,b'Join us tomorrow at 11 am EST! https://t.co/y7k5j7OCHO'
968532430326972416,2018-02-27 17:05:00,b'Secrets at risk as #DevOps goes mainstream by @ElizabethLawler via @InfosecurityMag: https://t.co/dDOsm1Kp3K'
968497199486181378,2018-02-27 14:45:00,b'Four SSH vulnerabilities you should not ignore: https://t.co/tQLzYmsPM6'
968489461087686656,2018-02-27 14:14:15,b'.@ElizabethLawler https://t.co/0aB09RY2C9'
968489141729157120,2018-02-27 14:12:59,b'RT @ITWebConnect: PWC and CyberArk: is your continuous DevOps pipeline continuously secure?\nhttps://t.co/YoJ1BTX83R @CyberArk'
968447345431105538,2018-02-27 11:26:54,b'RT @michastan: What a great pleasure to present @CyberArk here @AccentureSecure #securitycommunity @cugoetz https://t.co/ZYj3sWmqkO'
968447295434952705,2018-02-27 11:26:42,"b'RT @michastan: Nur zum Fun Part... Falls morgen ein paar @computacenterDE Cyberark Consultants fehlen, dann sind die noch hier und kommen n\xe2\x80\xa6'"
968217858831347712,2018-02-26 20:15:00,b'How do you manage credentials &amp; secrets that are shared across your CI/CD tools? Join us on Wednesday &amp; learn more.\xe2\x80\xa6 https://t.co/uW1OCdsDpB'
968198562348781568,2018-02-26 18:58:20,b'RT @Thalesesecurity: Join Thales and @CyberArk on March 1 for a joint webcast on combating insider threats - protecting privileged accounts\xe2\x80\xa6'
968183898344628225,2018-02-26 18:00:04,b'#Cryptomining operations will continue &amp; likely expand. Here are 5 things you need to know: https://t.co/GmPbgDFod3'
