id,created_at,text
971407773824176128,2018-03-07 15:30:35,"b""RT @GemaltoMobile: Here are our closing thoughts on #MWC18 - a show that demonstrated we're on the cusp of complete connectivity. https://t\xe2\x80\xa6"""
971341665683296256,2018-03-07 11:07:54,"b'RT @GemaltoUK: NEWS: Businesses under pressure - Employees want same simple access to #cloud applications as consumers, finds Gemalto: http\xe2\x80\xa6'"
971334193514012672,2018-03-07 10:38:12,b'RT @eduriama: #Gemalto #GemaltoConnectedWomen \nSharing experiences and best practises around women at work. https://t.co/TIjbr3o9W9'
971305225582727168,2018-03-07 08:43:06,b'Angola Embraces The Enhanced Security Brought By EMV Card Payments https://t.co/ATbS7DH3T6'
971034925641158656,2018-03-06 14:49:01,b'Gemalto recognised its Americas Partners for their role in accelerating a secure digital transformation\xe2\x80\xa6 https://t.co/RbytRXDbIu'
970948017816825856,2018-03-06 09:03:41,b'Korea Telecom selects Gemalto to deliver out-of-box connectivity for connected cars https://t.co/uL5Ah5RvTE #eSIM\xe2\x80\xa6 https://t.co/iPtbeiT1ys'
970942854242750464,2018-03-06 08:43:10,b'RT @antgrasso: 5G technology is \xe2\x80\x8bdriven by 8 specification requirements. https://t.co/8O125r4C6M @Gemalto #5G #Wireless #network #technolog\xe2\x80\xa6'
970913212475600896,2018-03-06 06:45:23,b'The new biometric EMV cards eliminate the security risks of having PIN codes and passwords. Check out Fabrice Greni\xe2\x80\xa6 https://t.co/iCCNyZNN0J'
970896421582004224,2018-03-06 05:38:39,b'Can private issuers and domestic schemes take advantage of digital transformation? Embracing #digitalpayment for re\xe2\x80\xa6 https://t.co/dBCqUuuhNY'
970676385286184960,2018-03-05 15:04:19,"b""RT @GemaltoUK: At #GartnerIAM in London? Don't forget to stop by Gemalto stand PL1 to experience the VR simulator &amp; your chance to win a #S\xe2\x80\xa6"""
970676294567563264,2018-03-05 15:03:57,"b""Angola's payment processor EMIS to migrate its debit payment cards to EMV using private label payment technology\xe2\x80\xa6 https://t.co/roTEOHndJL"""
970630200231940097,2018-03-05 12:00:47,b'Digital transformation is making banking and payment services a seamless experience with #IoT. Get to know all the\xe2\x80\xa6 https://t.co/XEcWXolJJx'
970596580251316224,2018-03-05 09:47:12,b'Want to implement a multi-layered approach to security through #biometrics? Check out Moath Ismail discussing how\xe2\x80\xa6 https://t.co/jo3MhSGVou'
970592321870983168,2018-03-05 09:30:16,b'Gemalto Digital Banking&amp;Payment expert Syed Ammar Faheem will be live on stage at #seamlessafrica today March 5th a\xe2\x80\xa6 https://t.co/qL1yRqxu6d'
970578032628043776,2018-03-05 08:33:30,"b'RT @TMCnetDAVE: .@Gemalto Gives @Cambium, WISPs Greater Flexibility https://t.co/fGSNOrP1xl'"
970576123028492288,2018-03-05 08:25:54,b'RT @Mumu1931: #seamlessafrica has started  now! Come &amp; meet our @Gemalto experts to discuss Digital Banking &amp; Payment transformation during\xe2\x80\xa6'
970573230271590400,2018-03-05 08:14:25,b'Gemalto Digital Banking VP for CISMEA Moath Ismail will present the Gemalto Assurance Hub (GAH) live on stage at\xe2\x80\xa6 https://t.co/QxlP1Sb2iK'
969586076884131840,2018-03-02 14:51:49,b'How is a trusted digital identity created in practice? Read our blog for the 3 key steps required to create an auth\xe2\x80\xa6 https://t.co/ls8a3YH0Px'
969561724000047104,2018-03-02 13:15:03,"b""RT @goodeintel: Thanks to Gemalto for demonstrating it's #biometric #payment card at #MWC18 today. We predict a positive future for this te\xe2\x80\xa6"""
969516738542034946,2018-03-02 10:16:17,b'So #MWC18 is over for another year. Great work from our colleagues @GemaltoMobile and the intrepid @aliciaidt see y\xe2\x80\xa6 https://t.co/UepqFxCzUe'
969511262576050178,2018-03-02 09:54:32,"b'News - today we released our 2017 full year results with revenues at \xe2\x82\xac3bn and profit from operations of \xe2\x82\xac310m, read\xe2\x80\xa6 https://t.co/sAITWlUBYq'"
969490062214877184,2018-03-02 08:30:17,b'RT @neirajones: #PSD2: Communication Standards Set To Be Implemented In EU Law \nhttps://t.co/sKxqGq54e3 \n#RTS #payments #fintech #regulatio\xe2\x80\xa6'
969216262147661824,2018-03-01 14:22:18,b'We are excited to launch the new edition of our award-winning magazine at #MWC18 . Read it online\xe2\x80\xa6 https://t.co/xMCXTevpar'
969197402065395712,2018-03-01 13:07:22,"b'RT @Kevin_ODonovan: ""The 7 key factors that need to be addressed for #drone #CyberSecurity "" ... Florent Abat from @Gemalto at @Intdroneexp\xe2\x80\xa6'"
969191210048000000,2018-03-01 12:42:45,b'How can #DDL technology protect your #digital identity when buying services online? https://t.co/SFfs7TFqLq https://t.co/oIbxkmsLkg'
969164292690972672,2018-03-01 10:55:48,b'RT @GemaltoMobile: 3-min video to understand why &amp; how securing #5G #VirtualizedNetworks via a joint @intel   &amp; @Gemalto robust processor-l\xe2\x80\xa6'
969150428645642241,2018-03-01 10:00:42,"b'@LAUNAY_Nathalie Hi there, we see your point, however only one of the men on stage was from Gemalto and we take div\xe2\x80\xa6 https://t.co/B5gKzuzWuO'"
969140773244596224,2018-03-01 09:22:20,b'Our latest whitepaper on the security aspects of 5G https://t.co/ZJXcbklTL8 https://t.co/1ev2o8F9bG'
