id,created_at,text
971476561411981312,2018-03-07 20:03:56,b'Life before Splunk?! We shudder to think. https://t.co/MpMYHqpPbV'
971460454424838145,2018-03-07 18:59:55,"b""RT @SplunkPartners: Register for Splunk's Adaptive Response Hackathon! Join Splunkers as we build and prototype apps that help your custome\xe2\x80\xa6"""
971448600151564288,2018-03-07 18:12:49,"b'RT @SplunkUK: Building trust in #IoT: @bgmorri shares further insight around the #SecuritybyDesign report, released today by UK Government\xe2\x80\xa6'"
971186855990276097,2018-03-07 00:52:44,"b'RT @AWSonAir: Finishing our last partner booth presentation with @2impacthealth, Global Healthcare Lead at @splunk, talking about how to pr\xe2\x80\xa6'"
971179264614772736,2018-03-07 00:22:34,"b'In Texas this week for #GartnerDA? Come say ""Howdy, y\'all!"" and learn about Splunk\xe2\x80\x99s #MachineLearning Toolkit at bo\xe2\x80\xa6 https://t.co/8cSym3r9Ae'"
971112097609232384,2018-03-06 19:55:41,"b""It wouldn't be a #SplunkLive! party without our favorite guest of all...YOU. Register now to learn how you can tap\xe2\x80\xa6 https://t.co/uKzuoczR0i"""
971105260390506496,2018-03-06 19:28:30,b'Things are getting Splunk-y at #HIMSS18! Stop by booth 8217 and visit us at the Cybersecurity Command Center for de\xe2\x80\xa6 https://t.co/ks0f1Xqft9'
971051031277817857,2018-03-06 15:53:01,b'Splunk named a leader in the @IDC MarketScape Asia Pacific #BigData and Analytics Platform 2017 Vendor Analysis Rep\xe2\x80\xa6 https://t.co/CSTrxRaVrD'
970780654672596993,2018-03-05 21:58:38,"b""He's answered your questions and helped solve your problems, but what happens when the fez comes off? Get a peek in\xe2\x80\xa6 https://t.co/WEA9z4NvNR"""
970749672364085250,2018-03-05 19:55:32,b'How can healthcare organizations secure their #IoT systems from threats and protect patient privacy? Find out at Sp\xe2\x80\xa6 https://t.co/Olv0s7u1pc'
970448814258696192,2018-03-05 00:00:02,b'#ICYMI Announcing the winner of the @splunkanswers  January 2018 Karma Competition (and the owner of a shiny new pa\xe2\x80\xa6 https://t.co/70PiCDRLl1'
970411066642624512,2018-03-04 21:30:02,"b""#ICMYI Get to know this piranha-diving, problem-solving, university-teaching member of @TheSplunkTrust, Ryan O'Conn\xe2\x80\xa6 https://t.co/hjmSpz31w1"""
970305368067887104,2018-03-04 14:30:01,"b'#ICYMI Here are your must-have #security reads for the month of February, handpicked by our Splunk experts:\xe2\x80\xa6 https://t.co/7dLqhYkj7c'"
970029803779907585,2018-03-03 20:15:02,"b'#ICYMI What does it take to become the top @girlscouts cookie seller in San Francisco? A lot of hard work, and a li\xe2\x80\xa6 https://t.co/fVLIBVm0Dj'"
969992056826466304,2018-03-03 17:45:02,"b""#ICYMI The #splunkconf18 call for papers is just days away! Get inspired by this Q&amp;A with @athenahealth's Jake McAl\xe2\x80\xa6 https://t.co/3qUAHRTYeQ"""
969672893499142144,2018-03-02 20:36:48,b'Headed to #HIMSS18? Visit booth 8217 and the Cybersecurity Command Center to learn how Splunk is using security int\xe2\x80\xa6 https://t.co/NW6Z87lS69'
969267152002850818,2018-03-01 17:44:31,b'Ready for an introduction to the world of #machinedata? Join us at #SplunkLive! Santa Clara to hear from Splunk CTO\xe2\x80\xa6 https://t.co/YZQ9lOABG9'
969018139500601344,2018-03-01 01:15:02,b'Webinar 3/6: Join Splunk and @xMatters_inc to discover the steps to an effective #DevSecOps infrastructure. Registe\xe2\x80\xa6 https://t.co/qrAb4NVT13'
968999263316344833,2018-03-01 00:00:02,"b'.@DataSyrinx gets to know this piranha-diving, problem-solving, university-teaching @TheSplunkTrust member. Serious\xe2\x80\xa6 https://t.co/ms982SnjGM'"
968995031334903808,2018-02-28 23:43:13,"b""If this is #BeardGoals, there's no telling what #Movember is going to look like around here. https://t.co/vTZch8mQVJ"""
968989523727204352,2018-02-28 23:21:20,b'RT @SplunkPartners: Congrats to all of our AMER theater award winners: @GuidePointSec @roundtowertech @InsightOnDemand @ArrowECS @spicosolu\xe2\x80\xa6'
968982729474785280,2018-02-28 22:54:20,b'RT @SplunkPartners: Congrats to all of our Public Sector theater award winners! Thank you to @clearshark @CDWCorp @kinneygroup @Carahsoft @\xe2\x80\xa6'
968975974846013440,2018-02-28 22:27:29,"b'Who better to chat with longtime customer Steve D\xe2\x80\x99Aurora onstage at Splunk TKO than our Customer Success Officer,\xe2\x80\xa6 https://t.co/RTyYC1jjpL'"
968965986664755200,2018-02-28 21:47:48,b'Congratulations to the winner of the January 2018 Karma Competition on @splunkanswers (and the owner of a shiny new\xe2\x80\xa6 https://t.co/I6VXomrLVh'
968941316397608960,2018-02-28 20:09:46,"b'RT @CRN: .@Splunk Readies Partner Program Tracks For OEMs, Distributors And Referral Partners: https://t.co/bAzu0sOR5v #SplunkSKO https://t\xe2\x80\xa6'"
968918435118776320,2018-02-28 18:38:51,b'RT @AndiMann: Backstage getting ready to present to @splunk field and @SplunkPartners sales teams. \n\nI love this company! https://t.co/ME2G\xe2\x80\xa6'
968900811353763840,2018-02-28 17:28:49,b'Can you really think of a better way to kick off Wednesday at #SplunkSKO than talking customer success with\xe2\x80\xa6 https://t.co/pAGot0LGeb'
