id,created_at,text
971460589494067200,2018-03-07 19:00:28,b'Just wrapping up live webinar on #CloudGuardSaas. Learn how to protect your apps in the #cloud.  Learn more at\xe2\x80\xa6 https://t.co/cAjbGG9ajp'
971459990891319298,2018-03-07 18:58:05,b'Live webinar on securing your #Saas with #CloudGuard #cybercriminals https://t.co/RtgYffDhc7 https://t.co/8vqRF3Da7B'
971459117079453696,2018-03-07 18:54:37,b'Live webinar on #CloudGuardSaas happening now. Currently showing a live demo of how our cloud app security works.\xe2\x80\xa6 https://t.co/K720kXrlLv'
971458393117372416,2018-03-07 18:51:44,b'Live webinar now: #CloudGuardSaaS answering attendee questions on securing apps in the #cloud live https://t.co/RtgYffDhc7'
971456698429816832,2018-03-07 18:45:00,b'#CloudGuardSaaS webinar right now:  now available in Early Availability. Contact us for more information\xe2\x80\xa6 https://t.co/SuBa3bSewv'
971455374975889408,2018-03-07 18:39:44,b'Happening now: Learn how to prevent SaaS cyberattacks and SaaS accounts takeover with the pioneering new\xe2\x80\xa6 https://t.co/ptIkK6p2ta'
971444857322393600,2018-03-07 17:57:57,b'Samsung Research America blocks 100% of #mobile threats with #SandBlast Mobile. Read their story. #mobilesec\xe2\x80\xa6 https://t.co/LZs6zQxDcr'
971077289436897280,2018-03-06 17:37:22,b'Thanks to all of our great sponsors and attendees at #CPX360. Great to see you all! See you next year.\xe2\x80\xa6 https://t.co/UsASeudhN9'
970741337212338177,2018-03-05 19:22:24,b'Gil Shwed receives the first 2018 #IsraelPrize laureate in the field of technology and innovation. Read story.\xe2\x80\xa6 https://t.co/gf6VEjj9fP'
970597798415667200,2018-03-05 09:52:02,b'Last chance for webinar: Why are hackers targeting employee #SaaS accounts and how to stop them. Register now.\xe2\x80\xa6 https://t.co/MD7UCfauWT'
970358731824345088,2018-03-04 18:02:04,"b'Be sure to visit us at #HIMSS18 in Las Vegas, March 5-9 for #healthcare &amp; #IoT demos with our cyber security expert\xe2\x80\xa6 https://t.co/8AzHbhEZDP'"
970223594042220545,2018-03-04 09:05:05,b'Last chance for webinar: Block #cyberattacks and #malware to your #SaaS applications and prevent account takeover.\xe2\x80\xa6 https://t.co/ztZYkLQtx2'
969988332120956928,2018-03-03 17:30:14,"b'New #Georgia #cybercrime bill, designed to stop #hackers and online #snoopers, is getting traction. Who is affected\xe2\x80\xa6 https://t.co/2EfHPHzUln'"
969872516993908736,2018-03-03 09:50:02,"b'Learn how to prevent #SaaS account takeovers and block #malware and zero-day attacks in new webinar. Mar 7, 10am CE\xe2\x80\xa6 https://t.co/mwQk89IEW8'"
969637203583250432,2018-03-02 18:14:58,b'Every move a #hacker makes on the #network is intentional. They stay under the radar by aligning their burst of tra\xe2\x80\xa6 https://t.co/2inaZhyoJH'
969633545139511297,2018-03-02 18:00:26,"b'Learn how #SaaS accounts are breached and how to prevent SaaS account takeover in upcoming webinar. Mar 7, 10am PST\xe2\x80\xa6 https://t.co/va0s7r0cHK'"
969376333481603072,2018-03-02 00:58:22,b'Thanks to all of our customers and partners for visiting us this week at #CPX360 in Bangkok. See you next year!\xe2\x80\xa6 https://t.co/BUC42tOOOd'
969210935381512193,2018-03-01 14:01:08,b'New webinar: secure your #SaaS applications and prevent SaaS #cyberattacks and SaaS account takeover with new\xe2\x80\xa6 https://t.co/jvfxrgk8sU'
969196069337825280,2018-03-01 13:02:04,"b'Wrapping up a successful #CPX360 in Bangkok! Thank you all for attending, it was great to meet you and we are looki\xe2\x80\xa6 https://t.co/8zomDUEtgb'"
