id,created_at,text
971523891658215424,2018-03-07 23:12:00,"b""@MediaSmarts thanks for the shout out &amp; we're happy to have you on the panel!"""
971460643793465345,2018-03-07 19:00:41,"b'Test your #datacenter skills here! Play our datacenter attack game, Hospital Under Siege! Participants can compete\xe2\x80\xa6 https://t.co/5Xh4WLvQeh'"
971455906910060544,2018-03-07 18:41:51,b'A great success with Craig Gorme and Jason Noll from UF Health! Nice job guys! #HIMSS18 https://t.co/oE3oixAkma'
971448162316566528,2018-03-07 18:11:05,"b'""Enable rapid response through delivery of real time signatures and security updates,"" via Craig Gorme. #HIMSS18 https://t.co/6ZrCMzLfg8'"
971447031171444736,2018-03-07 18:06:35,b'Medical devices are becoming more like #IoT devices says Craig Gorme. #HIMSS18'
971446569386954752,2018-03-07 18:04:45,b'Why has #healthcare become such a target for #cybercriminals in recent years? Craig Gorme says money. https://t.co/iB9BFWJ1SC'
971445435041632256,2018-03-07 18:00:14,"b'Spots are still open in the  #Cybersecurity Command Center to hear, ""A Holistic Approach to Information Security,""\xe2\x80\xa6 https://t.co/U4EVXR9872'"
971445398903644160,2018-03-07 18:00:06,"b""The #healthcare industry remains one of the most frequently targeted sectors in the United States. That\xe2\x80\x99s why we're\xe2\x80\xa6 https://t.co/e0kvUYdluG"""
971441041269186560,2018-03-07 17:42:47,"b'They\'re off and running today here  @HIMSS towards to the  #Cybersecurity Command Center to hear, ""A Holistic Appro\xe2\x80\xa6 https://t.co/eVt4VyuvIc'"
971439763608645634,2018-03-07 17:37:42,"b'Join us in 25 minutes in the  #Cybersecurity Command Center to hear, ""A Holistic Approach to Information Security,""\xe2\x80\xa6 https://t.co/OkbNleHH9c'"
971437073952583680,2018-03-07 17:27:01,b'Did you know industrial robots can be hacked? Read more in our research paper: https://t.co/pREtKBhfWw #RogueRobots\xe2\x80\xa6 https://t.co/eAgT4duMub'
971430280601964544,2018-03-07 17:00:01,b'What does a typical fileless #cryptocurrency-mining malware infection entail\xe2\x80\x94and how can it be mitigated? Found out\xe2\x80\xa6 https://t.co/XMwa9wbQAB'
971415185637421056,2018-03-07 16:00:02,"b'True to our prediction, exploits on #Android\xe2\x80\x99s media frame considerably lessened in 2017. Will we see more #kernel\xe2\x80\xa6 https://t.co/nfwXRT7DwS'"
971400077259563009,2018-03-07 15:00:00,"b""If you're at @HIMSS 2018, head on over to the #Cybersecurity Command Center @ the Challenge Area &amp; compete in the\xe2\x80\xa6 https://t.co/xrwce44yBp"""
971134196407181312,2018-03-06 21:23:29,"b""Tomorrow during @HIMSS we're hosting a customer speaking engagement at 10:00-10:20 am, during which we welcome secu\xe2\x80\xa6 https://t.co/jCjvdNLOkb"""
971133003987533825,2018-03-06 21:18:45,b'Spots are open in the Cybersecurity Command Center! Stop by to enter a chance to win an #Apple watch.\n#HIMSS18\xe2\x80\xa6 https://t.co/LgIMMJA6rv'
971113202649100289,2018-03-06 20:00:04,b'Stop by the #Cybersecurity Command Center in the Challenge Area (#8) located in the Titan Ballroom at #HIMSS18 for\xe2\x80\xa6 https://t.co/fmIw5llliL'
971106643189649408,2018-03-06 19:34:00,b'@LoretoFermoy thanks for the shout out! @avril_ronan is real gem!'
971104748656037890,2018-03-06 19:26:28,b'The Challenge Area in the #Cybersecurity Command Center at @HIMSS is open &amp; bustling already! Stop by to play our\xe2\x80\xa6 https://t.co/mBoDTLrWxm'
971102869872152578,2018-03-06 19:19:01,"b'You made it to @HIMSS 2018 now head on over to our booth, 8500-06! And in the #Cybersecurity Command Center at the\xe2\x80\xa6 https://t.co/TFDyhrK1ah'"
971097082412093445,2018-03-06 18:56:01,b'Worried about security gaps? We\xe2\x80\x99re here to help: https://t.co/QebOj1lrKv https://t.co/DNT48KAi9Y'
971060192564645888,2018-03-06 16:29:25,"b""RT @TrendISKF: Have you seen this year's What's Your Story? contest theme? \n\nTell us how you know if something online is real or fake and y\xe2\x80\xa6"""
971052792466034688,2018-03-06 16:00:01,b'The emergence of fileless #cryptocurrency-mining malware is a sign of things to come for 2018\xe2\x80\x99s threat landscape.\xe2\x80\xa6 https://t.co/j0sSUUsfNz'
971037693353299969,2018-03-06 15:00:01,b'The new campaign exploiting a #vulnerability #Adobe already patched shows the need for a proactive incident respons\xe2\x80\xa6 https://t.co/McKFcKZXC0'
970782257307844608,2018-03-05 22:05:01,"b""Headed to #SXSW2018? Don't miss @marknca's session on how industrial robots can be hacked: https://t.co/tS9keo6NFm\xe2\x80\xa6 https://t.co/TgYc2mksW9"""
970769569831899136,2018-03-05 21:14:36,"b""RT @muriel_mathis: If you're heading to #SXSW2018, don't miss @TrendMicro's @Marknca speak about how industrial robots can be hacked: https\xe2\x80\xa6"""
970712302579265536,2018-03-05 17:27:02,b'Industrial robots can be hacked. Read more in our research paper: https://t.co/pREtKBhfWw #RogueRobots #SXSW2018\xe2\x80\xa6 https://t.co/ysv1SzMnJQ'
970705504128438272,2018-03-05 17:00:01,b'A new #Mirai variant was found targeting #IoT devices and turning them into proxy servers. Secure your router now:\xe2\x80\xa6 https://t.co/HK5kdYH8op'
970690409134518274,2018-03-05 16:00:02,b'What is making #Monero the cybercriminals\xe2\x80\x99 #cryptocurrency of choice of late? Read more here:\xe2\x80\xa6 https://t.co/Zj4n4QW9Dm'
970388412367818752,2018-03-04 20:00:01,"b'Two #vulnerabilities in #Apache #CouchDB  were patched in Nov 2017. However, we recently found malicious activities\xe2\x80\xa6 https://t.co/9MseW3JE5A'"
970328019880509440,2018-03-04 16:00:02,b'Why are #cybercriminals shifting from #Bitcoin to #Monero mining? Read more on our report: https://t.co/Q2PotwmpUu https://t.co/YlZB0GBpYM'
970010933417431040,2018-03-03 19:00:03,b'2017 saw many adaptable threats target #vulnerabilities in new ways. More in our annual security roundup:\xe2\x80\xa6 https://t.co/WFQyq6SYx7'
