id,created_at,text
965681645738217473,2018-02-19 20:17:00,"b""CLTC's Steve Weber on #EmotionalData for @TechTarget: \xe2\x80\x9cYou can do good things with it, and you can do bad things wi\xe2\x80\xa6 https://t.co/Qc21JpbjVg"""
965322529182162944,2018-02-18 20:30:00,"b'Have you heard of ""jackpotting?"" This #hack, which involves ATM software &amp; hardware modifications, has hit ATMs acr\xe2\x80\xa6 https://t.co/sA55B1Wdtl'"
964960142448971776,2018-02-17 20:30:00,"b'Digital #technology is used everyday, but how does it affect our #privacy &amp; the 4th Amendment? Carpenter v. United\xe2\x80\xa6 https://t.co/HLDBZCT9NQ'"
964597501897662465,2018-02-16 20:29:00,"b'\xe2\x80\x9cWith AI and the changing threat landscape, where do we need to go from here?\xe2\x80\x9d Watch ED @BetsyatBerkeley discuss\xe2\x80\xa6 https://t.co/Uh1LeeADsH'"
964236120778264583,2018-02-15 20:33:00,b'\xe2\x80\x9cEvery single piece of digital technology that is being used...all that stuff makes really interesting targets. Not\xe2\x80\xa6 https://t.co/K8NK17TNqO'
964204411378548736,2018-02-15 18:27:00,"b""Interested in helping us expand our research agenda? We're looking for researchers from a variety of areas of exper\xe2\x80\xa6 https://t.co/OFdSy6T7gJ"""
963867023007600641,2018-02-14 20:06:20,"b'Along with @UCB_EECS researcher Daniel Masny, @SanjamGarg is researching advanced #encryption techniques for #IoT &amp;\xe2\x80\xa6 https://t.co/g4PwSJs8WY'"
963866399843037184,2018-02-14 20:03:52,"b'@SanjamGarg, #CLTCGrantee &amp; Assistant Prof. @UCB_EECS, was named one of @Forbes 30 under 30 in 2016! https://t.co/mA1I0g2CVZ'"
963835853037547521,2018-02-14 18:02:29,b'CLTC Media Round-Up &amp; Global Governance of AI Roundtable - https://t.co/tmSxZbv1Yf'
963834807728840704,2018-02-14 17:58:20,b'RT @BerkeleyISchool: This Friday @Elaine_Said will discuss findings from an ongoing study on private sector research and data sharing pract\xe2\x80\xa6'
963512603107643392,2018-02-13 20:38:00,"b'CLTC scholar @jonathanreiber discusses choice of potential new NSA head for @POLITICOPro: ""He understands military\xe2\x80\xa6 https://t.co/MMPAxLEORH'"
963147447827554305,2018-02-12 20:27:00,b'ICYMI: \xe2\x80\x9cWe don\xe2\x80\x99t fight the man anymore. We have perfected the art of finding problems.\xe2\x80\x9d@Facebook CSO &amp; #CLTCEAC mem\xe2\x80\xa6 https://t.co/6W7VWldHir'
962834887475638272,2018-02-11 23:45:00,"b'""Smart"" devices may be convenient, but what does #IoT mean when it comes to #cybersecurity risks? https://t.co/WiIhZWI0YK'"
962792105591517184,2018-02-11 20:55:00,b'@BetsyatBerkeley and @nytimes sound the alarm on cybercriminals likely to target the #WinterOlympics w/ worst-case\xe2\x80\xa6 https://t.co/Le0g7RPZnu'
962494549816823809,2018-02-11 01:12:37,b'RT @JessicaCussins: Thrilled to be in Dubai today @WorldGovSummit Global Governance of Artificial Intelligence Roundtable @FLIxrisk @hksfut\xe2\x80\xa6'
962494373739950080,2018-02-11 01:11:55,"b'\xe2\x80\x9cIf the algorithm were manipulated you could affect the overall outcome score and it would be very hard to detect,\xe2\x80\x9d\xe2\x80\xa6 https://t.co/snDpHCf9lg'"
962417134830739456,2018-02-10 20:05:00,"b'How we can improve #diversity in #cybersecurity - media portrayals, retention, &amp; representation are key: https://t.co/o2uR48zLEX'"
962107770542596096,2018-02-09 23:35:42,"b'Hackers can bring the #WinterOlympics to a standstill, &amp; \xe2\x80\x9cit doesn\xe2\x80\x99t even have to be high-end stealth,\xe2\x80\x9d says\xe2\x80\xa6 https://t.co/frDdEMCDRf'"
962064562668281864,2018-02-09 20:44:00,"b'\xe2\x80\x9cWe want this to be a vibrant center where people come hang out with each other, interact, and share ideas."" - Stev\xe2\x80\xa6 https://t.co/6f8RvN3NFM'"
962042164224999426,2018-02-09 19:15:00,"b'""Gen. Nakasone is a leader. He understands military cyberspace operations better than almost anyone in the [US]. Bu\xe2\x80\xa6 https://t.co/JEb8eJkajA'"
962011568417329152,2018-02-09 17:13:25,b'@BetsyatBerkeley and @nytimes sound the alarm on cybercriminals likely to target the #WinterOlympics w/ worst-case\xe2\x80\xa6 https://t.co/rDEmzla8zj'
961703181653807104,2018-02-08 20:48:00,b'The Winter #Olympics2018 begin tomorrow! Read what our ED @BetsyatBerkeley had to say about the risks of cyber-atta\xe2\x80\xa6 https://t.co/AwEoVy4LvW'
961335855926280192,2018-02-07 20:28:23,"b'Along with @BerkeleyISchool, we are also seeking a MICS Academic Program Manager: https://t.co/NgWhCKYK4m'"
961335799710019584,2018-02-07 20:28:10,"b""We're hiring researchers in a variety of areas of expertise to help expand our research agenda at CLTC - join us\xe2\x80\xa6 https://t.co/6YQnNnHy1x"""
960973120340455425,2018-02-06 20:27:00,b'ICYMI: CLTC Visiting Scholar @jonathanreiber discussed #cyber challenges in Asia &amp; their effect on US foreign polic\xe2\x80\xa6 https://t.co/5rvn0DxMvS'
960936735663382529,2018-02-06 18:02:25,"b""CLTC Presents at State of the Net 2018 &amp; Visiting Scholar 'Future Of Cybersecurity' Lecture\xc2\xa0 - https://t.co/tNRL9iACHn"""
960606959056707584,2018-02-05 20:12:00,b'ICYMI: Our ED @BetsyatBerkeley weighs in on the #Fancy Bear Olympic doping controversy for @CyberScoopNews:\xe2\x80\xa6 https://t.co/ug0dgdbcCP'
960564932445200384,2018-02-05 17:25:00,"b'What are our 2018 grantees working on? Research topics include #machine learning &amp; #AI, #cybersecurity governance,\xe2\x80\xa6 https://t.co/k6ZGdSwTX6'"
960249854143250432,2018-02-04 20:33:00,b'What would a #SuperBowl hack look like? We highlight the potential threats and how to mitigate the risks in our rec\xe2\x80\xa6 https://t.co/CjicMPoBCI'
959872366829502467,2018-02-03 19:33:00,b'What can we take away from recent #cyberattacks &amp; #privacy issues? Vulnerability plays a major role in exploitation: https://t.co/v1V9CtgCm4'
959524071242280960,2018-02-02 20:29:00,b'Facebook CSO &amp; member of CLTC EAC @AlexStamos says \xe2\x80\x9chacker mindset\xe2\x80\x9d should be celebrated across public &amp; private se\xe2\x80\xa6 https://t.co/LEltL1hJnT'
959511259958751232,2018-02-02 19:38:05,b'RT @Hewlett_Found: Building a more capable #cyber policy field is critical for keeping us all safe in cyberspace. @EliSugarman on a new @Ca\xe2\x80\xa6'
959158976507035648,2018-02-01 20:18:14,b'\xe2\x80\x9cOne thing I hope people feel as they read the dissertation is some reassurance that social media is not a terribly\xe2\x80\xa6 https://t.co/TDrT1gpsX1'
959158160383623168,2018-02-01 20:15:00,b'ICYMI: #CLTCGrantee @gpanger was awarded the @iSchools Doctoral Dissertation Award for his thesis \xe2\x80\x9cEmotion in Socia\xe2\x80\xa6 https://t.co/Ja4ffn1rNK'
958799799913992192,2018-01-31 20:31:00,b'Check out the @BerkeleyIIS US Foreign Policy event series where CLTC Visiting Scholar @jonathanreiber reviews the f\xe2\x80\xa6 https://t.co/nXiMkjn0Rp'
