,0,1
account,0.014145860827753985,0.0
ale,0.0,0.014145860827753985
alto,0.014145860827753985,0.0
android,0.0,0.014145860827753985
attack,0.0,0.0
blog,0.0,0.014145860827753985
breach,0.0,0.0
business,0.0,0.0
chatstc,0.0,0.014145860827753985
check,0.0,0.014145860827753985
cloud,0.0,0.0
customer,0.014145860827753985,0.0
cyber,0.0,0.0
cyberark,0.014145860827753985,0.0
cyberaware,0.0,0.014145860827753985
cybercrime,0.0,0.014145860827753985
cybersecurity,0.0,0.0
data,0.0,0.0
ddos,0.0,0.014145860827753985
device,0.0,0.0
digital,0.014145860827753985,0.0
domain,0.014145860827753985,0.0
email,0.0,0.0
foinet,0.014145860827753985,0.0
great,0.0,0.0
hacker,0.0,0.014145860827753985
help,0.0,0.0
incapsula,0.0,0.014145860827753985
infosec,0.0,0.0
internet,0.0,0.014145860827753985
join,0.0,0.0
latest,0.014145860827753985,0.0
learn,0.0,0.0
malware,0.0,0.0
mobile,0.0,0.0
name,0.014145860827753985,0.0
network,0.014145860827753985,0.0
nstic,0.014145860827753985,0.0
online,0.0,0.0
organization,0.014145860827753985,0.0
palo,0.014145860827753985,0.0
password,0.0,0.014145860827753985
please,0.014145860827753985,0.0
ransomware,0.0,0.0
read,0.0,0.014145860827753985
repo,0.0,0.0
risk,0.014145860827753985,0.0
secure,0.0,0.0
service,0.0,0.0
smallbiz,0.014145860827753985,0.0
solution,0.014145860827753985,0.0
splunk,0.0,0.014145860827753985
suppo,0.014145860827753985,0.0
symantec,0.0,0.014145860827753985
team,0.0,0.0
thanks,0.0,0.0
threat,0.0,0.0
time,0.0,0.0
tip,0.0,0.0
today,0.0,0.0
update,0.0,0.014145860827753985
user,0.0,0.014145860827753985
vulnerability,0.0,0.014145860827753985
webinar,0.0,0.0
website,0.0,0.0
week,0.0,0.0
year,0.0,0.0
