,0,1
FALSE,0.0,0.0
TRUE,0.0,0.0
ability,0.0,0.0
able,0.0,0.0
aboard,0.00034674696376185357,0.0
abuse,0.00034674696376185357,0.0
academic,0.0,0.00034674696376185357
accelerate,0.00034674696376185357,0.0
access,0.0,0.0
accessible,0.0,0.00034674696376185357
accidental,0.00034674696376185357,0.0
account,0.0,0.0
accountable,0.00034674696376185357,0.0
acct,0.00034674696376185357,0.0
accts,0.00034674696376185357,0.0
accurate,0.0,0.0
achilles,0.0,0.00034674696376185357
acquisition,0.0,0.0
action,0.0,0.0
actionable,0.0,0.0
active,0.0,0.0
activity,0.0,0.0
actor,0.0,0.0
adam,0.00034674696376185357,0.0
adapt,0.00034674696376185357,0.0
adaptive,0.00034674696376185357,0.0
additional,0.0,0.0
address,0.0,0.0
admin,0.0,0.0
administration,0.0,0.00034674696376185357
administrator,0.0,0.0
adobe,0.0,0.0
adopt,0.0,0.0
adoption,0.0,0.0
adult,0.0,0.00034674696376185357
advance,0.0,0.0
advanced,0.0,0.0
advantage,0.0,0.0
advendpoint,0.00034674696376185357,0.0
adversary,0.0,0.0
advice,0.0,0.0
advisor,0.0,0.0
advisory,0.0,0.00034674696376185357
adware,0.00034674696376185357,0.0
affect,0.0,0.0
affiliate,0.0,0.00034674696376185357
africa,0.0,0.0
african,0.0,0.0
afternoon,0.00034674696376185357,0.0
agency,0.0,0.0
agenda,0.0,0.0
agent,0.0,0.0
agile,0.00034674696376185357,0.0
agility,0.00034674696376185357,0.0
agree,0.0,0.0
agreement,0.0,0.00034674696376185357
aicle,0.0,0.0
aificial,0.00034674696376185357,0.0
aificialintelligence,0.00034674696376185357,0.0
aim,0.0,0.0
airline,0.0,0.00034674696376185357
airpo,0.0,0.0
ale,0.0,0.0
alexa,0.00034674696376185357,0.0
algorithm,0.00034674696376185357,0.0
alliance,0.0,0.0
allow,0.0,0.00034674696376185357
alto,0.00034674696376185357,0.0
amazing,0.0,0.0
amazon,0.0,0.0
america,0.0,0.0
american,0.0,0.0
amount,0.0,0.0
analysis,0.0,0.0
analyst,0.0,0.0
analytics,0.0,0.0
analyze,0.00034674696376185357,0.0
anatomy,0.0,0.0
andrey,0.00034674696376185357,0.0
android,0.0,0.0
andy,0.00034674696376185357,0.0
anniversary,0.0,0.00034674696376185357
announce,0.0,0.0
announcement,0.0,0.0
announces,0.0,0.0
annual,0.0,0.0
anonymous,0.00034674696376185357,0.0
answer,0.0,0.0
anti,0.0,0.0
antivirus,0.0,0.0
anycast,0.00034674696376185357,0.0
anyone,0.0,0.0
anything,0.0,0.0
anytime,0.0,0.00034674696376185357
apac,0.00034674696376185357,0.0
apache,0.0,0.00034674696376185357
apeure,0.00034674696376185357,0.0
apis,0.00034674696376185357,0.0
apologize,0.0,0.00034674696376185357
apology,0.0,0.00034674696376185357
apple,0.0,0.0
appleevent,0.00034674696376185357,0.0
appliance,0.00034674696376185357,0.0
applicant,0.0,0.00034674696376185357
application,0.0,0.0
apply,0.0,0.00034674696376185357
appreciate,0.0,0.0
approach,0.0,0.0
appropriate,0.0,0.00034674696376185357
apps,0.0,0.0
appsec,0.00034674696376185357,0.0
april,0.0,0.0
arbitrary,0.0,0.00034674696376185357
architect,0.00034674696376185357,0.0
architecture,0.0,0.0
area,0.0,0.0
army,0.0,0.0
arrest,0.0,0.00034674696376185357
arsenal,0.00034674696376185357,0.0
asap,0.0,0.00034674696376185357
asia,0.0,0.0
aspect,0.00034674696376185357,0.0
aspensecurity,0.0,0.00034674696376185357
ass,0.0,0.0
assault,0.00034674696376185357,0.0
assessment,0.0,0.0
asset,0.0,0.0
assist,0.0,0.0
assistance,0.0,0.0
assistant,0.0,0.0
assurance,0.0,0.00034674696376185357
atlanta,0.0,0.00034674696376185357
atm,0.00034674696376185357,0.0
attachment,0.0,0.00034674696376185357
attack,0.0,0.0
attacker,0.0,0.0
attempt,0.0,0.0
attend,0.0,0.0
attendee,0.0,0.0
attention,0.0,0.0
attract,0.0,0.00034674696376185357
attribute,0.0,0.00034674696376185357
attribution,0.00034674696376185357,0.0
audience,0.0,0.0
audit,0.00034674696376185357,0.0
august,0.0,0.0
auscybersummit,0.00034674696376185357,0.0
aussie,0.00034674696376185357,0.0
australia,0.0,0.0
australian,0.0,0.0
auth,0.0,0.00034674696376185357
authenticate,0.0,0.00034674696376185357
authentication,0.0,0.0
authn,0.0,0.00034674696376185357
author,0.0,0.0
authority,0.0,0.0
auto,0.0,0.0
autofocus,0.00034674696376185357,0.0
automate,0.00034674696376185357,0.0
automatic,0.00034674696376185357,0.0
automation,0.0,0.0
automotive,0.0,0.00034674696376185357
availability,0.0,0.0
available,0.0,0.0
avalanche,0.0,0.00034674696376185357
average,0.0,0.0
avoid,0.0,0.0
award,0.0,0.0
aware,0.0,0.0
awareness,0.0,0.0
awesome,0.0,0.0
awesomejerry,0.00034674696376185357,0.0
awsreinvent,0.00034674696376185357,0.0
awssummit,0.00034674696376185357,0.0
azure,0.0,0.0
baby,0.0,0.00034674696376185357
backdoor,0.0,0.0
backtoschool,0.0,0.00034674696376185357
backup,0.0,0.0
badge,0.00034674696376185357,0.0
badrabbit,0.0,0.0
balance,0.0,0.0
bangladesh,0.00034674696376185357,0.0
bank,0.0,0.0
banking,0.0,0.0
barcelona,0.0,0.0
base,0.0,0.0
basic,0.0,0.0
battery,0.00034674696376185357,0.0
battle,0.0,0.0
bear,0.0,0.0
beautiful,0.00034674696376185357,0.0
become,0.0,0.0
beer,0.00034674696376185357,0.0
begin,0.0,0.0
beginner,0.00034674696376185357,0.0
behavior,0.0,0.0
behavioral,0.0,0.0
benefit,0.0,0.0
bentley,0.0,0.00034674696376185357
best,0.0,0.0
better,0.0,0.0
beware,0.0,0.0
bheu,0.00034674696376185357,0.0
bhusa,0.0,0.0
bigdata,0.00034674696376185357,0.0
bigger,0.0,0.0
biggest,0.0,0.0
bihday,0.0,0.00034674696376185357
bill,0.0,0.0
biometric,0.0,0.00034674696376185357
biometrics,0.0,0.0
bird,0.0,0.0
bitcoin,0.0,0.0
black,0.0,0.0
blame,0.00034674696376185357,0.0
blast,0.00034674696376185357,0.0
block,0.0,0.0
blockchain,0.0,0.0
blocker,0.00034674696376185357,0.0
blog,0.0,0.0
blue,0.0,0.0
board,0.0,0.0
book,0.0,0.0
boost,0.0,0.0
booth,0.0,0.0
border,0.0,0.00034674696376185357
borne,0.0,0.00034674696376185357
bos,0.00034674696376185357,0.0
bosnian,0.00034674696376185357,0.0
boston,0.00034674696376185357,0.0
bot,0.0,0.0
botnet,0.0,0.0
botnets,0.0,0.0
bottom,0.0,0.00034674696376185357
bounty,0.0,0.0
bpase,0.00034674696376185357,0.0
bracket,0.00034674696376185357,0.0
branch,0.0,0.00034674696376185357
brand,0.0,0.0
breach,0.0,0.0
break,0.0,0.0
breakfast,0.00034674696376185357,0.0
breakout,0.0,0.00034674696376185357
brian,0.0,0.0
brief,0.0,0.0
briefing,0.00034674696376185357,0.0
bring,0.0,0.0
brings,0.0,0.0
british,0.00034674696376185357,0.0
broad,0.00034674696376185357,0.0
broker,0.0,0.0
browser,0.0,0.0
bucket,0.00034674696376185357,0.0
budget,0.0,0.0
bug,0.0,0.0
build,0.0,0.0
buildief,0.0,0.00034674696376185357
building,0.0,0.0
bulletin,0.0,0.00034674696376185357
bundle,0.00034674696376185357,0.0
bureau,0.0,0.00034674696376185357
business,0.0,0.0
busy,0.0,0.0
button,0.0,0.00034674696376185357
buying,0.0,0.0
byod,0.0,0.0
bypass,0.0,0.0
cadet,0.0,0.00034674696376185357
calculator,0.00034674696376185357,0.0
calendar,0.0,0.0
california,0.0,0.00034674696376185357
call,0.0,0.0
camera,0.0,0.0
camp,0.0,0.00034674696376185357
campaign,0.0,0.0
campus,0.0,0.00034674696376185357
canada,0.0,0.0
cancel,0.0,0.00034674696376185357
candidate,0.0,0.00034674696376185357
capability,0.0,0.0
capable,0.0,0.00034674696376185357
capacity,0.00034674696376185357,0.0
capital,0.00034674696376185357,0.0
capture,0.0,0.0
car,0.0,0.0
card,0.0,0.0
